disease	state_abb	state_code	state_name	perc_level_low	perc_level_moderate	perc_level_high	perc_level_very_high
ARI	NM	35	New Mexico	14.2370777902424	19.5583117690265	24.8795457478107	30.2007797265949
Influenza	NV	32	Nevada	0.331848165602097	1.74076298114575	3.14967779668941	4.55859261223307
COVID-19	NV	32	Nevada	0.554330593283608	1.9522803599949	3.35023012670618	4.74817989341747
RSV	NV	32	Nevada	0.0386034631585323	0.455543135704951	0.87248280825137	1.28942248079779
ARI	NV	32	Nevada	12.6346692559538	16.9407175282059	21.2467658004581	25.5528140727103
Influenza	NY	36	New York	0.239330551323172	1.4905015902329	2.74167262914263	3.99284366805236
COVID-19	NY	36	New York	0.450918945714812	1.26656212007167	2.08220529442853	2.89784846878539
RSV	NY	36	New York	0.0353350085642889	0.297119813124248	0.558904617684206	0.820689422244165
ARI	NY	36	New York	8.88556129222044	12.1839014529949	15.4822416137694	18.7805817745438
Influenza	OH	39	Ohio	0.133365036676197	2.07837795667362	4.0233908766710504	5.96840379666847
COVID-19	OH	39	Ohio	0.428391015969636	1.5444863442969	2.66058167262416	3.77667700095142
RSV	OH	39	Ohio	0.031697956459707	0.347938585023004	0.6641792135863	0.980419842149597
ARI	OH	39	Ohio	8.94046717769431	12.977330814341	17.0141944509877	21.0510580876345
Influenza	OK	40	Oklahoma	0.194519088918796	2.26880517554912	4.34309126217945	6.41737734880977
COVID-19	OK	40	Oklahoma	0.451722004139253	1.60750109481465	2.76328018549005	3.91905927616545
RSV	OK	40	Oklahoma	0.0665630227990645	0.505625255974784	0.944687489150504	1.38374972232622
ARI	OK	40	Oklahoma	9.64048917383551	13.9926778536221	18.3448665334086	22.6970552131952
Influenza	OR	41	Oregon	0.184733555894893	2.63694594852427	5.08915834115365	7.54137073378303
COVID-19	OR	41	Oregon	0.721723680396138	1.90299855149265	3.08427342258916	4.26554829368567
RSV	OR	41	Oregon	0.0369486523403626	0.518469000442146	0.999989348543929	1.48150969664571
ARI	OR	41	Oregon	10.2315408639826	14.4130813884515	18.5946219129204	22.7761624373892
Influenza	PA	42	Pennsylvania	0.109848618133185	1.66112000752232	3.21239139691146	4.7636627863006
COVID-19	PA	42	Pennsylvania	0.400993530421904	1.22890460427557	2.05681567812923	2.88472675198289
RSV	PA	42	Pennsylvania	0.0332074441883945	0.402715867407431	0.772224290626467	1.1417327138455
ARI	PA	42	Pennsylvania	7.64881877824774	10.8527592171087	14.0566996559697	17.2606400948307
Influenza	RI	44	Rhode Island	0.160757569379592	1.63884952386386	3.11694147834813	4.5950334328324
COVID-19	RI	44	Rhode Island	0.42262534696292	1.33998691303549	2.25734847910806	3.17471004518063
RSV	RI	44	Rhode Island	0.0352095675786539	0.351174190651514	0.667138813724374	0.983103436797233
ARI	RI	44	Rhode Island	8.22210598236906	11.3953545332548	14.5686030841405	17.7418516350263
